titulo,autor,precio,categoria
Naturaleza Botanica Para Colorear,"SANZ, MARIANA",$14.389,arte y arquitectura
Chile Todavia Un Paraiso (Bilingue) Tapa Flexible,"AGUIRRE, ISABEL MARGARITA",$19.000,arte y arquitectura
Teatros De Chile Volumen 2,"VILLALOBOS, LUIS",$30.000,arte y arquitectura
"Retrato Musical De Chile, De Norte A Sur Vol. IV","LOYOLA, MARGOT",$12.000,arte y arquitectura
El Paisaje Como Cifra De Armonia,"SILVESTRI, GRACIELA",$16.999,arte y arquitectura
Despues Del Fin Del Arte,"DANTO, ARTHUR C.",$14.630,arte y arquitectura
Playa Grande. Cartagena 1983-1984,"INFANTE, LEONARDO",$20.000,arte y arquitectura
Aloha (Nueva Edicion),"GOTT, TERE",$19.990,arte y arquitectura
Politica Del Anonimato En El Cine De America Latina,"PRADENAS, RUDY IVAN",$20.000,arte y arquitectura
Medio Rural,VARIOS AUTORES,$5.000,arte y arquitectura
Ficcion Marica,"DOVERIS, ROBERTO",$18.900,arte y arquitectura
De Lo Espiritual En El Arte,"KANDINSKY, VASILI",$13.900,arte y arquitectura
Eduardo Vilches. Fotografia,"VILCHES, EDUARDO",$25.000,arte y arquitectura
"China, Arte, Cultura, Revolucion","VENTURELLI, JOSE",$14.900,arte y arquitectura
Pintar Con Acuarela Es Facil,CONTRAPUNTO,$13.430,arte y arquitectura
Pink Floyd,"POPOFF, MARTIN",$38.493,arte y arquitectura
Brujeria Para Colorear,CONTRAPUNTO,$12.420,arte y arquitectura
"Enmarcando La Ciudad Planificada En America Latina, 1940-1980","ALMANDOZ, ARTURO",$31.000,arte y arquitectura
Tramando Vidas Colectivas,"BANDA CARCAMO, CONSUELO",$20.000,arte y arquitectura
En La Niebla,"WISNIK, GUILHERME",$16.000,arte y arquitectura
Zapatos,"HESS, MEGAN",$13.930,arte y arquitectura
"Ensayo Sobre Cualquiera Y, A Ratos, Sobre Arte",VARIOS AUTORES,$20.000,arte y arquitectura
Una Frontera Permanente,"ROSSETTI, FULVIO",$18.000,arte y arquitectura
Un Jardin Publico. La Invencion Del Verde Urbano En La Ciudad De Santiago 1838-1875,"MONTEALEGRE BEACH, PIA",$18.000,arte y arquitectura
Stereografia Johnston Lee,VARIOS AUTORES,$15.000,arte y arquitectura
